entity,soc
include/nexus_sched.hpp,6368
src/third_party/libprocess/process.hpp,6365
src/third_party/libprocess/serialization.cpp,6360
src/third_party/libprocess/tuple-impl.hpp,6339
src/hash_pid.cpp,6337
src/third_party/libprocess/tuple.cpp,6336
src/third_party/libprocess/record-process.cpp,6336
include/nexus_exec.hpp,6335
frameworks/haproxy+apache/startapache.sh,6332
frameworks/haproxy+apache/haproxy+apache,6332
src/nexus_local.hpp,6329
src/ec2/nexus_ec2.py,6329
frameworks/haproxy+apache/haproxy.config.template,6329
src/third_party/libprocess/serialization.hpp,6327
include/nexus_types.hpp,6325
configure.OURS.karmic64,6321
src/third_party/libprocess/configure.ac,6319
src/third_party/libprocess/configure,6319
src/third_party/libprocess/third_party/libev-3.8/config.h,6318
src/third_party/glog-0.3.0/src/logging.cc,6318
configure.OURS.solaris,6317
frameworks/hadoop-0.20.0/src/mapred/org/apache/hadoop/mapred/NexusExecutor.java,6316
include/nexus_types.h,6311
configure.OURS.ubuntu64,6309
configure.OURS.ubuntu32,6309
src/rctl.c,6308
src/prctl.c,6308
src/lr.hpp,6308
src/ec2/deploy.karmic64/root/nexus-ec2/setup,6308
src/ec2/deploy.karmic64/root/nexus-ec2/start-nexus,6305
src/third_party/libprocess/Makefile.in,6304
src/swig/nexus.i,6302
src/ec2/deploy.karmic64/root/nexus-ec2/stop-nexus,6301
src/ec2/deploy.karmic64/root/nexus-ec2/redeploy-nexus,6301
include/nexus.hpp,6297
tests/simple/simple_sched.c,6296
tests/simple/simple.c,6296
src/swig/python/test_exec.sh,6296
src/third_party/libprocess/utility.hpp,6295
src/ec2/deploy.solaris/root/nexus-ec2/stop-nexus,6295
src/ec2/deploy.solaris/root/nexus-ec2/start-nexus,6295
src/ec2/deploy.solaris/root/nexus-ec2/nexus-daemon,6295
src/ec2/deploy.karmic64/root/nexus-ec2/nexus-daemon,6295
frameworks/hadoop-0.20.0/src/mapred/org/apache/hadoop/mapred/NexusScheduler.java,6295
src/ec2/deploy.karmic64/root/nexus-ec2/runaway-kill,6294
src/ec2/deploy.karmic64/root/nexus-ec2/setup-slave,6293
src/ec2/deploy.karmic64/root/hadoop-0.20.2/conf/hdfs-site.xml,6293
src/ec2/deploy.karmic64/root/hadoop-0.20.2/conf/hadoop-env.sh,6293
src/ec2/deploy.karmic64/root/hadoop-0.20.2/conf/core-site.xml,6293
src/ec2/deploy.karmic64/root/nexus-ec2/slaves,6292
src/hash_pid.hpp,6291
src/third_party/libprocess/variadic.hpp,6290
src/third_party/libprocess/tuple.hpp,6290
src/third_party/libprocess/third_party/libev-3.8/stamp-h1,6290
src/third_party/libprocess/third_party/libev-3.8/mkinstalldirs,6290
src/third_party/libprocess/third_party/libev-3.8/missing,6290
src/third_party/libprocess/third_party/libev-3.8/ltmain.sh,6290
src/third_party/libprocess/third_party/libev-3.8/libev.m4,6290
src/third_party/libprocess/third_party/libev-3.8/install-sh,6290
src/third_party/libprocess/third_party/libev-3.8/event.h,6290
src/third_party/libprocess/third_party/libev-3.8/event.c,6290
src/third_party/libprocess/third_party/libev-3.8/ev_wrap.h,6290
src/third_party/libprocess/third_party/libev-3.8/ev_win32.c,6290
src/third_party/libprocess/third_party/libev-3.8/ev_vars.h,6290
src/third_party/libprocess/third_party/libev-3.8/ev_select.c,6290
src/third_party/libprocess/third_party/libev-3.8/ev_port.c,6290
src/third_party/libprocess/third_party/libev-3.8/ev_poll.c,6290
src/third_party/libprocess/third_party/libev-3.8/ev_kqueue.c,6290
src/third_party/libprocess/third_party/libev-3.8/ev_epoll.c,6290
src/third_party/libprocess/third_party/libev-3.8/ev.pod,6290
src/third_party/libprocess/third_party/libev-3.8/ev.h,6290
src/third_party/libprocess/third_party/libev-3.8/ev.c,6290
src/third_party/libprocess/third_party/libev-3.8/ev.3,6290
src/third_party/libprocess/third_party/libev-3.8/ev++.h,6290
src/third_party/libprocess/third_party/libev-3.8/configure.ac,6290
src/third_party/libprocess/third_party/libev-3.8/configure,6290
src/third_party/libprocess/third_party/libev-3.8/config.sub,6290
src/third_party/libprocess/third_party/libev-3.8/config.h.in,6290
src/third_party/libprocess/third_party/libev-3.8/config.guess,6290
src/third_party/libprocess/third_party/libev-3.8/autogen.sh,6290
src/third_party/libprocess/third_party/libev-3.8/aclocal.m4,6290
src/third_party/libprocess/third_party/libev-3.8/README,6290
src/third_party/libprocess/third_party/libev-3.8/Makefile.in,6290
src/third_party/libprocess/third_party/libev-3.8/Makefile.am,6290
src/third_party/libprocess/third_party/libev-3.8/LICENSE,6290
src/third_party/libprocess/third_party/libev-3.8/Changes,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/visitor_ptr.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/variant_fwd.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/variant.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/static_visitor.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/recursive_wrapper_fwd.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/recursive_wrapper.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/recursive_variant.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/get.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/visitation_impl.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/variant_io.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/substitute_fwd.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/substitute.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/over_sequence.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/move.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/make_variant_list.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/initializer.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/has_trivial_move.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/has_nothrow_move.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/generic_result_type.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/forced_return.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/enable_recursive_fwd.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/enable_recursive.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/config.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/cast_storage.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/bool_trait_undef.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/bool_trait_def.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/backup_holder.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/apply_visitor_unary.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/apply_visitor_delayed.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/detail/apply_visitor_binary.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/bad_visit.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/variant/apply_visitor.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/utility/value_init.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/utility/typed_in_place_factory.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/utility/result_of.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/utility/in_place_factory.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/utility/enable_if.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/utility/detail/result_of_iterate.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/utility/detail/in_place_factory_suffix.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/utility/detail/in_place_factory_prefix.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/utility/compare_pointees.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/utility/binary.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/utility/base_from_member.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/utility/addressof.hpp,6290
src/third_party/libprocess/third_party/boost-1.37.0/boost/utility.hpp,6290
