date,added,deleted,commits
2013-08-08,73,4,3
2013-08-09,398,312,25
2013-08-10,190,0,5
2013-08-11,79,46,6
2013-08-12,280,25,12
2013-08-13,73,48,8
2013-08-15,65,54,4
2013-08-16,126,12,3
2013-08-19,7,5,3
2013-08-20,22,11,4
2013-08-21,308,9,5
2013-08-22,146,8,8
2013-08-23,302,60,18
2013-08-25,3,6,1
2013-08-26,499,32,10
2013-08-27,94,41,1
2013-08-28,156,119,8
2013-08-29,336,133,14
2013-08-30,62,21,2
2013-09-03,134,24,10
2013-09-05,6,11,1
2013-09-06,71,33,2
2013-09-09,60,13,1
2013-09-10,74,7,3
2013-09-11,184,122,9
2013-09-13,128,67,5
2013-09-16,34,179,5
2013-09-17,26,270,4
2013-09-19,1335,83,14
2013-09-20,2,1269,17
2013-09-23,4,8,3
2013-09-25,5,1,1
2013-09-26,26,1,3
2013-09-27,1,1,1
2013-10-01,486,112,22
2013-10-02,209,106,10
2013-10-04,1799,264,40
2013-10-07,67,0,1
2013-10-08,197,45,9
2013-10-09,48,6,4
2013-10-11,47,11,2
2013-10-12,1353,30,28
2013-10-13,2,1,1
2013-10-14,4218,10530,23
2013-10-15,40,141,2
2013-10-16,2,2,1
2013-10-17,425,221,12
2013-10-18,6,3,4
2013-10-21,9,0,1
2013-10-22,140,269,15
2013-10-23,786,512,31
2013-10-24,66,50,5
2013-10-25,78,33,7
2013-10-27,414,1160,31
2013-10-28,134,65,26
2013-10-29,1014,280,31
2013-10-30,700,371,9
2013-10-31,274,13,4
2013-11-01,60,52,6
2013-11-02,132,11,6
2013-11-04,157,217,5
2013-11-05,509,226,14
2013-11-06,679,247,17
2013-11-11,148,172,2
2013-11-12,199,20,13
2013-11-13,65,44,5
2013-11-14,187,187,8
2013-11-15,23,19,4
2013-11-16,9,3,1
2013-11-17,8,4,1
2013-11-18,14,8,2
2013-11-19,3284,2088,55
2013-11-20,47,6,11
2013-11-21,387,199,11
2013-11-22,187,17,6
2013-11-24,31,6,2
2013-11-25,111,29,9
2013-11-26,354,66,28
2013-11-27,106,108,14
2013-12-01,375,106,32
2013-12-02,101,45,10
2013-12-03,286,159,7
2013-12-04,471,103,21
2013-12-05,105,19,13
2013-12-06,12206,5335,23
2013-12-09,85,6,6
2013-12-10,141,25,30
2013-12-11,5,5,3
2013-12-12,424,60,18
2013-12-17,235,124,8
2013-12-18,59,32,3
2013-12-19,464,380,26
2013-12-22,2,1,1
2013-12-26,158,0,1
2013-12-27,200,54,2
2013-12-29,2334,839,72
2013-12-30,489,269,26
2014-01-02,6,3,1
2014-01-04,37,0,1
2014-01-06,2,0,1
2014-01-09,4,0,1
2014-01-10,182,192,14
2014-01-13,1188,1143,42
2014-01-14,2,43,2
2014-01-15,357,119,38
2014-01-16,5683,2642,47
2014-01-17,1021,225,72
2014-01-18,179,213,13
2014-01-20,145,110,10
2014-01-21,313,124,24
2014-01-22,416,204,19
2014-01-23,911,554,29
2014-01-24,1173,429,22
2014-01-25,759,1,5
2014-01-27,483,10,6
2014-01-28,264,13,11
2014-01-29,7,3,1
2014-01-30,374,220,20
2014-01-31,588,96,14
2014-02-01,791,240,23
2014-02-02,336,11,9
2014-02-03,115,5,9
2014-02-06,125,29,14
2014-02-07,3,2,2
2014-02-10,14,3,2
2014-02-11,6279,5030,89
2014-02-13,381,265,35
2014-02-14,1168,102,22
2014-02-16,98,82,15
2014-02-17,113,124,2
2014-02-18,257,34,6
2014-02-19,234,208,9
2014-02-20,926,94,16
2014-02-21,298,510,21
2014-02-24,194,84,53
2014-02-25,55,1,2
2014-02-26,150,158,16
2014-02-27,390,252,13
2014-02-28,938,52,19
2014-03-01,2,2,1
2014-03-02,145,28,3
2014-03-03,1278,93,14
2014-03-04,541,332,11
2014-03-05,302,59,17
2014-03-06,218,213,27
2014-03-09,320,77,15
2014-03-10,618,258,16
2014-03-11,432,133,15
2014-03-12,472,169,29
2014-03-13,33,30,11
2014-03-14,102,13,9
2014-03-16,2,2,1
2014-03-17,1380,39,14
2014-03-18,33,32,3
2014-03-19,11,10,2
2014-03-20,449,52,7
2014-03-21,475,298,16
2014-03-24,273,5,8
2014-03-25,561,247,54
2014-03-26,514,12,15
2014-03-27,1468,492,43
2014-03-28,273,163,15
2014-03-29,179,170,17
2014-03-31,129,39,4
2014-04-01,301,144,20
2014-04-02,916,281,19
2014-04-03,198,90,8
2014-04-04,787,63,9
2014-04-06,231,59,6
2014-04-07,4,3,1
2014-04-08,314,124,15
2014-04-09,388,251,14
2014-04-10,432,6,9
2014-04-11,427,91,11
2014-04-12,171,0,4
2014-04-13,2517,178,22
2014-04-14,239,11,8
2014-04-15,112,78,4
2014-04-16,65,14,8
2014-04-17,201,117,16
2014-04-18,470,131,28
2014-04-19,10,4,1
2014-04-20,31,0,2
2014-04-21,149,483,8
2014-04-22,971,274,39
2014-04-23,950,523,44
2014-04-24,88,10,6
2014-04-25,1464,545,52
2014-04-26,4,4,1
2014-04-27,1844,5,11
2014-04-28,2675,227,45
2014-04-29,110,58,14
2014-04-30,1054,297,28
2014-05-01,228,140,26
2014-05-02,863,507,79
2014-05-05,2,1,1
2014-05-06,429,87,16
2014-05-07,210,82,11
2014-05-08,1303,242,23
2014-05-09,488,2,14
2014-05-12,630,123,19
2014-05-13,644,93,23
2014-05-14,1790,121,33
2014-05-15,119,54,19
2014-05-16,284,135,24
2014-05-19,96,40,6
2014-05-20,133,40,10
2014-05-21,674,96,12
2014-05-22,532,127,25
2014-05-23,44,32,9
2014-05-24,28,2,2
2014-05-25,29,0,1
2014-05-26,26,31,4
2014-05-27,510,203,20
2014-05-28,826,221,15
2014-05-29,202,113,11
2014-05-30,241,23,6
2014-05-31,123,426,8
2014-06-01,32,16,6
2014-06-02,1343,24,20
2014-06-03,51,81,13
2014-06-04,926,115,30
2014-06-05,339,31,11
2014-06-06,47,35,6
2014-06-07,10,4,1
2014-06-09,892,26,9
2014-06-10,98,37,10
2014-06-11,34,13,6
2014-06-12,108,179,12
2014-06-13,36,118,4
2014-06-16,298,11,12
2014-06-17,1146,206,35
2014-06-18,425,73,30
2014-06-19,42,65,9
2014-06-20,1694,830,43
2014-06-22,1793,55,24
2014-06-23,1238,146,35
2014-06-24,238,38,16
2014-06-25,3354,538,39
2014-06-26,1695,47,14
2014-06-27,259,104,31
2014-06-28,112,39,5
2014-06-29,564,244,34
2014-06-30,665,9,12
2014-07-01,806,355,10
2014-07-02,274,17,8
2014-07-03,557,1851,15
2014-07-07,891,152,23
2014-07-08,230,1,3
2014-07-09,374,107,20
2014-07-10,7,7,3
2014-07-14,229,60,18
2014-07-15,1556,923,25
2014-07-16,277,166,13
2014-07-17,274,241,19
2014-07-18,627,73,16
2014-07-20,3,3,1
2014-07-21,48,49,9
2014-07-22,870,735,26
2014-07-23,306,166,17
2014-07-24,515,470,13
2014-07-25,26,2,3
2014-07-28,162,134,2
2014-07-29,202,47,17
2014-07-30,37,29,3
2014-07-31,639,330,75
2014-08-01,147,39,1
2014-08-02,2,1,1
2014-08-04,112,81,13
2014-08-05,614,262,31
2014-08-06,468,88,20
2014-08-07,47,27,8
2014-08-08,763,632,30
2014-08-10,907,84,19
2014-08-11,102,182,5
2014-08-12,477,163,18
2014-08-13,423,85,27
2014-08-14,1687,502,52
2014-08-15,1140,482,27
2014-08-16,491,105,18
2014-08-17,11,0,1
2014-08-18,87,50,13
2014-08-19,121,124,13
2014-08-20,5,3,1
2014-08-21,14,15,3
2014-08-24,29,23,4
2014-08-25,66,10,6
2014-08-26,61,26,7
2014-08-27,132,133,13
2014-08-28,73,75,4
2014-08-29,77,40,4
2014-09-02,94,9,7
2014-09-03,4,2,2
2014-09-04,351,317,16
2014-09-05,226,0,5
2014-09-08,13,15,2
2014-09-09,154,110,50
2014-09-10,157,148,11
2014-09-11,452,144,10
2014-09-12,31,16,3
2014-09-15,81,34,5
2014-09-16,796,50,17
2014-09-17,747,115,16
2014-09-18,462,240,34
2014-09-19,514,343,19
2014-09-22,53,2,3
2014-09-23,181,117,3
2014-09-24,249,4,6
2014-09-25,527,343,24
2014-09-26,56,47,5
2014-09-28,1,0,1
2014-09-29,267,640,28
2014-09-30,1111,769,17
2014-10-01,1181,146,31
2014-10-02,510,68,18
2014-10-03,11,1,3
2014-10-04,67,0,3
2014-10-06,423,334,19
2014-10-07,212,23,5
2014-10-08,1059,141,22
2014-10-09,90,43,5
2014-10-10,828,101,37
2014-10-11,452,490,16
2014-10-12,159,32,9
2014-10-13,133,19,9
2014-10-14,170,101,21
2014-10-15,278,154,20
2014-10-16,1505,777,62
2014-10-17,415,328,23
2014-10-18,106,0,1
2014-10-20,499,270,19
2014-10-21,13,10,1
2014-10-22,539,39,27
2014-10-23,989,142,23
2014-10-24,651,46,17
2014-10-25,709,320,17
2014-10-26,2,1,1
2014-10-27,309,35,20
2014-10-28,39,21,5
2014-10-29,41,16,5
2014-10-31,894,267,25
2014-11-01,185,26,9
2014-11-02,1617,1472,33
2014-11-03,1408,604,56
2014-11-04,542,36,16
2014-11-05,906,96,14
2014-11-06,1650,381,18
2014-11-07,769,418,19
2014-11-08,53,65,5
2014-11-10,149,126,10
2014-11-11,617,325,8
2014-11-12,734,320,60
2014-11-13,138,41,13
2014-11-14,1741,1641,56
2014-11-15,818,645,26
2014-11-17,212,161,12
2014-11-18,411,90,21
2014-11-19,381,96,12
2014-11-20,112,124,15
2014-11-21,147,75,10
2014-11-23,76,16,4
2014-11-24,207,69,14
2014-11-25,411,79,6
2014-11-26,12,8,1
2014-12-01,17,6,6
2014-12-02,1662,889,46
2014-12-03,242,119,13
2014-12-04,278,145,11
2014-12-05,573,793,26
2014-12-06,119,255,4
2014-12-07,196,395,6
2014-12-08,199,62,4
2014-12-09,140,240,8
2014-12-10,2,0,1
2014-12-11,258,37,10
2014-12-12,447,304,33
2014-12-14,1,0,1
2014-12-15,353,48,13
2014-12-16,888,462,24
2014-12-17,67,25,6
2014-12-18,337,21,10
2014-12-19,39,8,9
2014-12-20,944,525,29
2014-12-24,275,236,18
2014-12-25,365,308,15
2014-12-26,214,58,6
2014-12-29,942,457,27
2014-12-30,95,3,2
2015-01-01,85,65,15
2015-01-03,37,8,1
2015-01-04,1,1,1
2015-01-05,79,9,2
2015-01-06,310,0,6
2015-01-07,1307,532,26
2015-01-08,611,46,20
2015-01-09,97,11,5
2015-01-10,49,1,2
2015-01-12,495,520,8
2015-01-13,499,214,11
2015-01-14,965,51,27
2015-01-15,228,277,13
2015-01-16,786,608,29
2015-01-20,572,318,21
2015-01-21,152,135,36
2015-01-22,334,77,8
2015-01-23,24,6,1
2015-01-25,269,142,5
2015-01-26,144,486,14
2015-01-27,266,145,12
2015-01-28,186,30,9
2015-01-29,557,119,17
2015-01-30,1392,1112,28
2015-02-01,10,0,3
2015-02-02,49,54,6
2015-02-03,115,71,6
2015-02-04,378,279,15
2015-02-05,689,908,310
2015-02-06,4,8,3
2015-02-07,1,0,1
2015-02-08,5,5,3
2015-02-09,23,17,2
2015-02-10,1275,803,176
2015-02-11,888,148,28
2015-02-12,1100,849,69
2015-02-13,28,504,14
2015-02-16,1,1,1
2015-02-17,155,80,8
2015-02-18,104,56,4
2015-02-19,1,1,1
2015-02-20,59,19,7
2015-02-22,1367,630,337
2015-02-23,1160,484,60
2015-02-24,181,185,13
2015-02-25,675,198,35
2015-02-26,351,118,13
2015-02-27,23,37,10
2015-03-02,19,6,3
2015-03-03,905,812,16
2015-03-04,38,21,4
2015-03-05,594,107,10
2015-03-06,1072,549,39
2015-03-09,251,50,17
2015-03-10,407,35,17
2015-03-11,654,123,34
2015-03-12,47,21,3
2015-03-13,26,2,4
2015-03-16,200,35,8
2015-03-17,515,294,15
