entity,added,deleted,commits
third_party/protobuf-2.3.0/m4/libtool.m4,7309,7309,2
frameworks/hadoop-0.20.0/src/c++/libhdfs/m4/libtool.m4,7252,0,1
third_party/sqlite-3.6.23.1/aclocal.m4,7227,7227,2
frameworks/hadoop-0.20.0/src/c++/utils/aclocal.m4,7185,0,1
frameworks/hadoop-0.20.0/src/examples/pipes/aclocal.m4,7185,0,1
frameworks/hadoop-0.20.0/src/c++/pipes/aclocal.m4,7185,0,1
site/source/assets/css/bootstrap.css,7118,0,1
third_party/protobuf-2.3.0/src/google/protobuf/descriptor.pb.cc,7029,7029,2
frameworks/hadoop-0.20.0/src/native/config/ltmain.sh,6971,0,1
third_party/libprocess/third_party/gmock-1.5.0/build-aux/ltmain.sh,6964,6964,2
third_party/libprocess/third_party/gmock-1.5.0/gtest/build-aux/ltmain.sh,6964,6964,2
src/third_party/glog-0.3.0/ltmain.sh,6964,0,1
src/third_party/gtest-1.4.0-patched/build-aux/ltmain.sh,6964,0,1
frameworks/hadoop-0.20.0/src/native/aclocal.m4,6946,0,1
third_party/sqlite-3.6.23.1/ltmain.sh,6930,6930,2
src/third_party/libprocess/third_party/libev-3.8/ltmain.sh,6871,0,1
src/third_party/gtest-1.4.0-patched/test/gtest_unittest.cc.orig,6847,6847,2
third_party/protobuf-2.4.1/gtest/test/gtest_unittest.cc,6847,6847,2
third_party/protobuf-2.3.0/gtest/test/gtest_unittest.cc,6847,6847,2
src/third_party/gtest-1.4.0-patched/test/gtest_unittest.cc,6829,0,1
src/third_party/libprocess/configure,6826,206,3
third_party/libprocess/third_party/gmock-1.5.0/gtest/test/gtest_unittest.cc,6718,6718,2
frameworks/hadoop-0.20.0/src/examples/pipes/ltmain.sh,6530,0,1
frameworks/hadoop-0.20.0/src/c++/pipes/ltmain.sh,6530,0,1
frameworks/hadoop-0.20.0/src/c++/utils/ltmain.sh,6530,0,1
src/tests/slave_recovery_tests.cpp,6379,2488,144
frameworks/hadoop-0.20.0/src/contrib/thriftfs/gen-java/org/apache/hadoop/thriftfs/api/ThriftHadoopFileSystem.java,6038,0,1
src/master/master.hpp,5917,4152,329
src/third_party/libprocess/process.cpp,5810,2901,31
third_party/sqlite-3.6.23.1/sqlite3.h,5734,5734,2
src/third_party/libprocess/swig/python/process.cpp,5701,0,1
frameworks/hadoop-0.20.0/src/contrib/thriftfs/gen-cpp/ThriftHadoopFileSystem.cpp,5344,0,1
src/Makefile.am,5337,3278,526
third_party/protobuf-2.4.1/src/google/protobuf/descriptor.pb.h,5223,5223,2
src/slave/containerizer/isolators/network/port_mapping.cpp,5218,1426,75
support/cpplint.py,5096,343,6
src/webui/master/static/bootstrap/css/bootstrap.css,4960,4960,2
third_party/libprocess/third_party/gmock-1.6.0/gtest/src/gtest.cc,4898,4898,2
third_party/gmock-1.6.0/gtest/src/gtest.cc,4898,4898,2
src/tests/allocator_tests.cpp,4853,2421,72
frameworks/hadoop-0.20.0/src/contrib/thriftfs/gen-php/ThriftHadoopFileSystem.php,4852,0,1
third_party/libprocess/third_party/gmock-1.6.0/gtest/include/gtest/internal/gtest-param-util-generated.h,4822,4822,2
third_party/gmock-1.6.0/gtest/include/gtest/internal/gtest-param-util-generated.h,4822,4822,2
third_party/libprocess/third_party/gmock-1.5.0/gtest/include/gtest/internal/gtest-param-util-generated.h,4820,4820,2
third_party/protobuf-2.4.1/gtest/include/gtest/internal/gtest-param-util-generated.h,4803,4803,2
src/third_party/gtest-1.4.0-patched/include/gtest/internal/gtest-param-util-generated.h,4803,0,1
third_party/protobuf-2.3.0/gtest/include/gtest/internal/gtest-param-util-generated.h,4803,4803,2
frameworks/hadoop-0.20.0/src/hdfs/org/apache/hadoop/hdfs/server/namenode/FSNamesystem.java,4708,0,1
third_party/libprocess/third_party/gmock-1.5.0/gtest/src/gtest.cc,4704,4704,2
src/tests/slave_tests.cpp,4702,1169,134
src/tests/fault_tolerance_tests.cpp,4667,2663,140
third_party/protobuf-2.4.1/gtest/src/gtest.cc,4642,4642,2
third_party/protobuf-2.3.0/gtest/src/gtest.cc,4642,4642,2
src/third_party/gtest-1.4.0-patched/src/gtest.cc,4642,0,1
src/slave/containerizer/docker.cpp,4628,2676,101
src/third_party/libprocess/third_party/libev-3.8/ev.3,4619,0,1
src/third_party/libprocess/third_party/libev-3.8/ev.pod,4554,0,1
frameworks/hadoop-0.20.0/src/contrib/thriftfs/gen-perl/ThriftHadoopFileSystem.pm,4538,0,1
frameworks/hadoop-0.20.0/src/contrib/thriftfs/gen-cocoa/hadoopfs.m,4507,0,1
third_party/protobuf-2.4.1/src/google/protobuf/descriptor.cc,4497,4497,2
src/third_party/zookeeper-3.2.2/src/contrib/zkfuse/src/zkfuse.cc,4492,0,1
src/third_party/zookeeper-3.2.2/contrib/zkfuse/src/zkfuse.cc,4492,0,1
src/linux/cgroups.cpp,4461,1960,80
src/master/http.cpp,4449,1869,204
docs/configuration.md,4410,2409,75
third_party/protobuf-2.3.0/src/google/protobuf/descriptor.cc,4401,4401,2
third_party/protobuf-2.3.0/src/google/protobuf/descriptor.pb.h,4355,4355,2
src/third_party/libprocess/swig/ruby/process.cpp,4330,0,1
src/sched/sched.cpp,4264,3209,171
src/tests/hierarchical_allocator_tests.cpp,4241,1251,72
3rdparty/libprocess/src/process.cpp,4120,4076,172
third_party/gmock-1.6.0/test/gmock-matchers_test.cc,4040,4040,2
third_party/libprocess/third_party/gmock-1.6.0/test/gmock-matchers_test.cc,4040,4040,2
third_party/protobuf-2.4.1/src/google/protobuf/descriptor_unittest.cc,4034,4034,2
src/third_party/{gtest-1.4.0-patched/src/gtest.cc => gtest-1.5.0/fused-src/gtest/gtest-all.cc},4023,155,1
third_party/libprocess/third_party/gmock-1.5.0/test/gmock-matchers_test.cc,3988,3988,2
third_party/gmock-1.5.0/test/gmock-matchers_test.cc,3988,3988,2
src/tests/docker_containerizer_tests.cpp,3982,1027,68
third_party/protobuf-2.3.0/src/google/protobuf/descriptor_unittest.cc,3956,3956,2
third_party/protobuf-2.4.1/java/src/test/java/com/google/protobuf/TestUtil.java,3811,3811,2
third_party/protobuf-2.3.0/java/src/test/java/com/google/protobuf/TestUtil.java,3780,3780,2
src/tests/log_tests.cpp,3752,1554,57
src/common/resources.cpp,3644,2060,82
frameworks/hadoop-0.20.0/src/mapred/org/apache/hadoop/mapred/JobTracker.java,3635,14,2
src/third_party/libprocess/third_party/libev-3.8/ev.c,3617,0,1
third_party/libprocess/third_party/glog-0.3.1/src/logging.cc,3562,3562,4
src/tests/test_master.cpp,3540,2744,31
frameworks/hadoop-0.20.0/src/contrib/thriftfs/gen-py/hadoopfs/ThriftHadoopFileSystem.py,3444,0,1
third_party/libprocess/src/process.cpp,3379,3108,64
src/master.cpp,3361,2251,73
frameworks/hadoop-0.20.0/src/test/org/apache/hadoop/cli/testConf.xml,3339,0,1
third_party/gmock-1.6.0/gtest/include/gtest/internal/gtest-type-util.h,3330,3330,2
third_party/libprocess/third_party/gmock-1.6.0/gtest/include/gtest/internal/gtest-type-util.h,3330,3330,2
src/third_party/gtest-1.4.0-patched/include/gtest/internal/gtest-type-util.h,3321,0,1
third_party/protobuf-2.4.1/gtest/include/gtest/internal/gtest-type-util.h,3321,3321,2
third_party/protobuf-2.3.0/gtest/include/gtest/internal/gtest-type-util.h,3321,3321,2
third_party/libprocess/third_party/gmock-1.5.0/gtest/include/gtest/internal/gtest-type-util.h,3321,3321,2
frameworks/hadoop-0.20.0/src/mapred/org/apache/hadoop/mapred/TaskTracker.java,3306,25,3
third_party/libprocess/third_party/glog-0.3.1/config.sub,3252,3252,4
frameworks/hadoop-0.20.0/src/hdfs/org/apache/hadoop/hdfs/DFSClient.java,3250,0,1
CHANGELOG,3232,508,112
frameworks/hadoop-0.20.0/src/core/org/apache/hadoop/io/SequenceFile.java,3198,0,1
src/webui/master/static/ui-bootstrap-tpls-0.4.0.js,3165,0,1
frameworks/hadoop-0.20.0/src/docs/src/documentation/content/xdocs/mapred_tutorial.xml,3093,0,1
