dimsemenov/PhotoSwipe,15,45
dinedal/textql,5,11
discourse/discourse,150,572
divio/django-cms,124,475
django/django,310,1259
DmitryBaranovskiy/raphael,12,35
docker/docker,432,1494
docker/fig,54,180
docopt/docopt,11,29
Dogfalo/materialize,49,173
domnikl/DesignPatternsPHP,25,109
dotnet/coreclr,60,235
dotnet/corefx,73,286
drapergem/draper,46,136
driftyco/ionic,91,276
driftyco/ionicons,5,13
drone/drone,47,177
dropwizard/dropwizard,77,280
dropwizard/metrics,54,179
drupal/drupal,31,114
dthree/cash,6,15
dthree/vantage,6,15
dthree/vorpal,9,20
ducksboard/gridster.js,9,25
duojs/duo,12,27
eclipse/vert.x,17,66
ecomfe/echarts,10,33
eczarny/spectacle,6,21
ejci/favico.js,14,34
elasticsearch/elasticsearch,193,692
elasticsearch/kibana,30,117
elasticsearch/logstash,119,397
elixir-lang/elixir,125,423
emberjs/ember.js,188,667
enaqx/awesome-react,111,225
enyo/dropzone,23,55
ericdrowell/KineticJS,19,61
erikhuda/thor,50,146
erlang/otp,97,393
errbit/errbit,64,231
escoz/QuickDialog,27,90
es-shims/es5-shim,27,76
ether/etherpad-lite,62,199
etsy/AndroidStaggeredGrid,11,26
etsy/statsd,70,196
Eugeny/ajenti,18,66
eventmachine/eventmachine,49,142
evilstreak/markdown-js,12,39
ExactTarget/fuelux,19,56
fabien-d/alertify.js,4,10
fabric/fabric,44,130
facebookarchive/huxley,4,9
facebookarchive/scribe,12,29
facebookarchive/three20,29,96
facebook/AsyncDisplayKit,33,105
facebook/chisel,15,44
facebook/facebook-android-sdk,15,48
facebook/facebook-ios-sdk,17,52
facebook/flow,58,173
facebook/flux,28,85
facebook/folly,95,330
facebook/hhvm,163,653
facebook/immutable-js,32,81
facebook/KVOController,8,23
facebook/osquery,28,99
facebook/pop,23,61
facebook/presto,44,150
facebook/react,223,724
facebook/rocksdb,75,252
facebook/Shimmer,8,19
facebook/Tweaks,14,37
facebook/xctool,29,93
faif/python-patterns,19,62
Famous/famous,20,81
fancyapps/fancyBox,14,36
fastly/epoch,8,20
fastmonkeys/stellar,5,13
faye/faye,10,35
felixge/node-mysql,29,94
feross/webtorrent,24,66
fffaraz/awesome-cpp,36,73
fgnass/spin.js,11,28
filamentgroup/grunticon,12,39
filamentgroup/tablesaw,4,12
FineUploader/fine-uploader,25,74
fish-shell/fish-shell,80,301
flightjs/flight,23,66
Flipboard/FLEX,11,32
Flipboard/react-canvas,5,16
flot/flot,20,62
flyerhzm/bullet,26,76
flynn/flynn,30,103
fog/fog,224,838
fogleman/Craft,5,14
fontello/fontello,9,26
foreverjs/forever,32,79
FortAwesome/Font-Awesome,23,76
FredrikNoren/ungit,20,59
FriendsOfPHP/PHP-CS-Fixer,41,134
fronteed/iCheck,5,14
ftlabs/fastclick,19,48
fullstackio/FlappySwift,7,16
fzaninotto/Faker,65,274
gabrielecirulli/2048,9,25
gabrielemariotti/cardslib,4,15
Gazler/githug,22,77
geekcompany/ResumeSample,2,4
getify/You-Dont-Know-JS,49,133
getpelican/pelican,96,312
getsentry/sentry,87,286
geuis/helium-css,5,12
ggreer/the_silver_searcher,60,156
gimenete/iOS-boilerplate,2,5
gionkunz/chartist-js,19,56
GitbookIO/gitbook,27,88
git/git,409,1449
github/gitignore,300,786
github/hub,37,117
github/hubot,88,252
github/linguist,205,635
gogits/gogs,85,268
golang/go,189,744
golang/groupcache,5,14
goldfire/howler.js,14,33
gollum/gollum,54,159
go-martini/martini,41,113
GoodBoyDigital/pixi.js,61,199
google/brotli,8,25
google/cadvisor,29,97
google/cayley,12,39
GoogleCloudPlatform/kubernetes,219,801
google/deepdream,4,8
google/flatbuffers,32,91
google/fonts,5,12
google/git-appraise,5,13
google/google-api-php-client,25,76
google/gson,11,33
google/guava,31,116
google/guice,15,53
google/gumbo-parser,11,29
google/gxui,6,21
google/iosched,7,28
google/j2objc,7,37
google/leveldb,7,21
google/lmctfy,6,16
google/lovefield,6,18
